Título;Título original;Idioma original;Duración;Directores;Sinopsis;Año de estreno;Clasificación por edad;Imagen cartel;Puntuación
Raya y el último dragón;Título original;Idioma original;Duración;Directores;Sinopsis;5/3/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
Tom y Jerry;Título original;Idioma original;Duración;Directores;Sinopsis;26/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
El rey de Zamunda;Título original;Idioma original;Duración;Directores;Sinopsis;5/3/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
Monster Hunter;Título original;Idioma original;Duración;Directores;Sinopsis;26/3/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
Wonder Woman 1984;Título original;Idioma original;Duración;Directores;Sinopsis;18/12/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Bajocero;Título original;Idioma original;Duración;Directores;Sinopsis;29/1/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
Barrenderos espaciales;Título original;Idioma original;Duración;Directores;Sinopsis;5/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Centinela;Título original;Idioma original;Duración;Directores;Sinopsis;5/3/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Pequeños detalles;Título original;Idioma original;Duración;Directores;Sinopsis;26/2/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
A descubierto;Título original;Idioma original;Duración;Directores;Sinopsis;15/1/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
Punto rojo;Título original;Idioma original;Duración;Directores;Sinopsis;11/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
After: En mil pedazos;Título original;Idioma original;Duración;Directores;Sinopsis;4/9/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Abismo;Título original;Idioma original;Duración;Directores;Sinopsis;7/8/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Wrong Turn;Título original;Idioma original;Duración;Directores;Sinopsis;26/1/2021 (BR);Clasificación por edad;Imagen cartel;Puntuación
Breach;Título original;Idioma original;Duración;Directores;Sinopsis;18/12/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Vanguard;Título original;Idioma original;Duración;Directores;Sinopsis;30/9/2020 (CN);Clasificación por edad;Imagen cartel;Puntuación
Jiu Jitsu;Título original;Idioma original;Duración;Directores;Sinopsis;20/11/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Skylines;Título original;Idioma original;Duración;Directores;Sinopsis;25/10/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
La Liga de la Justicia de Zack Snyder;Título original;Idioma original;Duración;Directores;Sinopsis;18/3/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
Miraculous World: Las aventuras de Ladybug en Nueva York;Título original;Idioma original;Duración;Directores;Sinopsis;10/10/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Los Croods: Una nueva era;Título original;Idioma original;Duración;Directores;Sinopsis;23/12/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Alerta roja;Título original;Idioma original;Duración;Directores;Sinopsis;19/12/2019 (KR);Clasificación por edad;Imagen cartel;Puntuación
Soul;Título original;Idioma original;Duración;Directores;Sinopsis;25/12/2020 (TW);Clasificación por edad;Imagen cartel;Puntuación
Aves de presa (y la fantabulosa emancipación de Harley Quinn);Título original;Idioma original;Duración;Directores;Sinopsis;7/2/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Mortal Kombat Legends: La venganza de Scorpion;Título original;Idioma original;Duración;Directores;Sinopsis;12/4/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Godzilla vs Kong;Título original;Idioma original;Duración;Directores;Sinopsis;26/3/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
Tentacles;Título original;Idioma original;Duración;Directores;Sinopsis;12/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Ava;Título original;Idioma original;Duración;Directores;Sinopsis;25/9/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Tenet;Título original;Idioma original;Duración;Directores;Sinopsis;26/8/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
¡Scooby-Doo! La Espada y Scooby;Título original;Idioma original;Duración;Directores;Sinopsis;23/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Un ladrón honesto;Título original;Idioma original;Duración;Directores;Sinopsis;16/10/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Miedo a la lluvia;Título original;Idioma original;Duración;Directores;Sinopsis;12/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Bad Boys for Life;Título original;Idioma original;Duración;Directores;Sinopsis;17/1/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Flora y Ulises;Título original;Idioma original;Duración;Directores;Sinopsis;19/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
100% Wolf: Pequeño gran lobo;Título original;Idioma original;Duración;Directores;Sinopsis;2/9/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Ohana: El tesoro de Hawái;Título original;Idioma original;Duración;Directores;Sinopsis;29/1/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Joker;Título original;Idioma original;Duración;Directores;Sinopsis;4/10/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
The Tax Collector;Título original;Idioma original;Duración;Directores;Sinopsis;7/8/2020 (CA);Clasificación por edad;Imagen cartel;Puntuación
Legionnaire's Trail;Título original;Idioma original;Duración;Directores;Sinopsis;8/5/2020 (DE);Clasificación por edad;Imagen cartel;Puntuación
Aquaslash;Título original;Idioma original;Duración;Directores;Sinopsis;23/6/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Vengadores: Endgame;Título original;Idioma original;Duración;Directores;Sinopsis;25/4/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Godzilla: Rey de los Monstruos;Título original;Idioma original;Duración;Directores;Sinopsis;21/6/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Efectos colaterales del amor;Título original;Idioma original;Duración;Directores;Sinopsis;21/8/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Vengadores: Infinity War;Título original;Idioma original;Duración;Directores;Sinopsis;27/4/2018 (ES);Clasificación por edad;Imagen cartel;Puntuación
Dragonheart: Vengeance;Título original;Idioma original;Duración;Directores;Sinopsis;4/2/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Assassin 33 A.D.;Título original;Idioma original;Duración;Directores;Sinopsis;10/4/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
